"	"
תהיה	תהיה
נקמה	נקמה
ובגדול	ו|בגדול
.	.
גם	גם
יהודים	יהודים
נמצאים	נמצאים
עתה	עתה
על	על
הכוונת	ה|כוונת
"	"
אמרו	אמרו
אנשי	אנשי
כך	כך
בעת	ב|עת
מסע	מסע
ההלווייה	ה|הלווייה
.	.
איש	איש
לא	לא
ניסה	ניסה
להסתיר	להסתיר
זאת	זאת
.	.
לא	לא
המנהיגים	ה|מנהיגים
שהסיתו	ש|הסיתו
לרצח	ל|רצח
;	;
לא	לא
חלקים	חלקים
בציבור	ב|ציבור
הזה	ה|זה
,	,
שלאורך	ש|ל|אורך
ציר	ציר
ההלווייה	ה|הלווייה
רקמו	רקמו
תוכניות	תוכניות
כיצד	כיצד
לפגוע	לפגוע
בערבים	ב|ערבים
כבר	כבר
בימים	ב|ימים
הקרובים	ה|קרובים
.	.
סופר	סופר
"	"
הארץ	ה|ארץ
"	"
בצפון	ב|צפון
,	,
מוסיף	מוסיף
:	:
יריות	יריות
נשמעו	נשמעו
אתמול	אתמול
בשעה	ב|שעה
2000	2000
בערב	ב|ערב
בשפרעם	ב|שפרעם
,	,
סמוך	סמוך
לביתו	ל|בית|ו
של	של
ראש	ראש
העירייה	ה|עירייה
,	,
איברהים	איברהים
נימר	נימר
חוסיין	חוסיין
.	.
איש	איש
לא	לא
נפגע	נפגע
.	.
כוחות	כוחות
משטרה	משטרה
גדולים	גדולים
,	,
בראשות	ב|ראשות
מפקד	מפקד
מרחב	מרחב
הגליל	ה|גליל
,	,
תת	תת
-	-
ניצב	ניצב
רמי	רמי
רהב	רהב
,	,
פתחו	פתחו
בחקירה	ב|חקירה
ובסריקות	ו|ב|סריקות
נרחבות	נרחבות
בעיר	ב|עיר
.	.
ביציאות	ב|יציאות
משפרעם	מ|שפרעם
הוצבו	הוצבו
מחסומים	מחסומים
,	,
לאחר	לאחר
שתושבים	ש|תושבים
סיפרו	סיפרו
כי	כי
הבחינו	הבחינו
במכונית	ב|מכונית
אדומה	אדומה
מסוג	מ|סוג
"	"
סובארו	סובארו
"	"
,	,
נושאת	נושאת
לוחיות	לוחיות
זיהוי	זיהוי
ישראליות	ישראליות
,	,
שנראתה	ש|נראתה
נמלטת	נמלטת
מהמקום	מ|ה|מקום
.	.
נימר	נימר
חוסיין	חוסיין
,	,
המשמש	ה|משמש
גם	גם
כראש	כ|ראש
ועד	ועד
ראשי	ראשי
הרשויות	ה|רשויות
הערביות	ה|ערביות
בישראל	ב|ישראל
,	,
אמר	אמר
כי	כי
היריות	ה|יריות
נורו	נורו
לעבר	לעבר
ביתו	בית|ו
וכי	ו|כי
לאחר	לאחר
רצח	רצח
מאיר	מאיר
כהנא	כהנא
הזהירה	הזהירה
אותו	אות|ו
המשטרה	ה|משטרה
כי	כי
קיים	קיים
חשש	חשש
שקיצונים	ש|קיצונים
יהודים	יהודים
ינסו	ינסו
לפגוע	לפגוע
בבעלי	ב|בעלי
תפקידים	תפקידים
בכירים	בכירים
במגזר	ב|מגזר
הערבי	ה|ערבי
.	.
המשטרה	ה|משטרה
הזהירה	הזהירה
אתמול	אתמול
חברי	חברי
-	-
כנסת	כנסת
ערבים	ערבים
ובעלי	ו|בעלי
תפקידים	תפקידים
בכירים	בכירים
במגזר	ב|מגזר
הערבי	ה|ערבי
,	,
המתגוררים	ה|מתגוררים
בצפון	ב|צפון
הארץ	ה|ארץ
,	,
כי	כי
קיים	קיים
חשש	חשש
לניסיונות	ל|ניסיונות
פגיעה	פגיעה
בהם	ב|הם
.	.
הם	הם
התבקשו	התבקשו
לדווח	לדווח
