עשרות	עשרות
אנשים	אנשים
מגיעים	מגיעים
מתאילנד	מ|תאילנד
לישראל	ל|ישראל
כשהם	כש|הם
נרשמים	נרשמים
כמתנדבים	כ|מתנדבים
,	,
אך	אך
למעשה	למעשה
משמשים	משמשים
עובדים	עובדים
שכירים	שכירים
זולים	זולים
.	.
תופעה	תופעה
זו	זו
התבררה	התבררה
אתמול	אתמול
בוועדת	ב|וועדת
העבודה	ה|עבודה
והרווחה	ו|ה|רווחה
של	של
הכנסת	ה|כנסת
,	,
שדנה	ש|דנה
בנושא	ב|נושא
העסקת	העסקת
עובדים	עובדים
זרים	זרים
.	.
יו"ר	יו"ר
הוועדה	ה|וועדה
,	,
ח"כ	ח"כ
אורה	אורה
נמיר	נמיר
(	(
מערך	מערך
)	)
,	,
טענה	טענה
כי	כי
"	"
מביאים	מביאים
עובדים	עובדים
זרים	זרים
לישראל	ל|ישראל
על	על
תקן	תקן
של	של
מתנדבים	מתנדבים
מתאילנד	מ|תאילנד
,	,
רק	רק
כדי	כדי
לא	לא
לשלם	לשלם
להם	ל|הם
שכר	שכר
מינימום	מינימום
.	.
מצד	מ|צד
אחד	אחד
רוצה	רוצה
האוצר	ה|אוצר
להוריד	להוריד
את	את
שכר	שכר
המינימום	ה|מינימום
,	,
ומצד	ו|מ|צד
שני	שני
מתיר	מתיר
משרד	משרד
העבודה	ה|עבודה
והרווחה	ו|ה|רווחה
להעסיק	להעסיק
עובדים	עובדים
זרים	זרים
בפחות	ב|פחות
משכר	מ|שכר
זה	זה
"	"
.	.
נמיר	נמיר
הודיעה	הודיעה
כי	כי
תפנה	תפנה
לשרי	ל|שרי
הפנים	ה|פנים
והעבודה	ו|ה|עבודה
והרווחה	ו|ה|רווחה
ולמזכיר	ו|ל|מזכיר
תנועת	תנועת
המושבים	ה|מושבים
,	,
בתביעה	ב|תביעה
לבטל	לבטל
את	את
הזמנתם	הזמנת|ם
של	של
500	500
עובדים	עובדים
זרים	זרים
מתאילנד	מ|תאילנד
כמתנדבים	כ|מתנדבים
כביכול	כביכול
.	.
היא	היא
הודיעה	הודיעה
כי	כי
הוועדה	ה|וועדה
תגבש	תגבש
הצעת	הצעת
חוק	חוק
בנושא	ב|נושא
העובדים	ה|עובדים
הזרים	ה|זרים
,	,
שתכלול	ש|תכלול
איסור	איסור
על	על
מתן	מתן
שכר	שכר
לעובדים	ל|עובדים
מתחת	מתחת
לשכר	ל|שכר
המינימום	ה|מינימום
ומתן	ו|מתן
התנאים	ה|תנאים
הסוציאליים	ה|סוציאליים
המקובלים	ה|מקובלים
במקום	ב|מקום
העבודה	ה|עבודה
.	.
כמו	כמו
כן	כן
,	,
תציב	תציב
הצעת	הצעת
החוק	ה|חוק
עונשי	עונשי
מאסר	מאסר
והטלת	ו|הטלת
קנסות	קנסות
כבדים	כבדים
למי	ל|מי
שיעסיק	ש|יעסיק
עובדים	עובדים
זרים	זרים
בלא	בלא
רשיון	רשיון
.	.
מרגלית	מרגלית
אילת	אילת
,	,
הממונה	ה|ממונה
על	על
מתן	מתן
היתרי	היתרי
עבודה	עבודה
לזרים	ל|זרים
בשירות	ב|שירות
התעסוקה	ה|תעסוקה
,	,
מסרה	מסרה
כי	כי
תנועת	תנועת
המושבים	ה|מושבים
הפעילה	הפעילה
לחץ	לחץ
שיותר	ש|יותר
לה	ל|ה
להביא	להביא
עובדים	עובדים
זרים	זרים
מתאילנד	מ|תאילנד
.	.
היא	היא
אמרה	אמרה
כי	כי
שירות	שירות
התעסוקה	ה|תעסוקה
הציע	הציע
להביא	להביא
עובדים	עובדים
מדרום	מ|דרום
